1 NR PCI,2 NR PCI,3 NR PCI,4 NR PCI,5 NR PCI,6 NR PCI,1 SS RSRP,2 SS RSRP,3 SS RSRP,4 SS RSRP,5 SS RSRP,6 SS RSRP,x,y
169.0,189.0,167.0,166.0,190.0,,-82.36,-88.25,-89.7,-94.43,-123.48,,-0.2682174077301542,0.3698625318478557
169.0,189.0,190.0,,,,-82.09,-89.91,-95.02,,,,-0.2682174077301542,0.3698625318478557
169.0,189.0,190.0,,,,-82.09,-89.91,-95.02,,,,-0.2682174077301542,0.3698625318478557
169.0,189.0,190.0,,,,-82.09,-89.91,-95.02,,,,-0.2682174077301542,0.3698625318478557
169.0,189.0,167.0,190.0,,,-81.53,-88.69,-89.53,-124.13,,,-0.2682174077301542,0.3698625318478557
169.0,189.0,167.0,190.0,,,-81.53,-88.69,-89.53,-124.13,,,-0.2682174077301542,0.3698625318478557
169.0,189.0,167.0,190.0,,,-81.53,-88.69,-89.53,-124.13,,,-0.2682174077301542,0.3698625318478557
169.0,189.0,167.0,166.0,190.0,,-82.89,-88.81,-91.81,-91.86,-92.63,,-0.2682174077301542,0.3698625318478557
169.0,189.0,167.0,166.0,190.0,,-82.89,-88.81,-91.81,-91.86,-92.63,,-0.2682174077301542,0.3698625318478557
169.0,189.0,167.0,166.0,190.0,,-82.46,-90.61,-90.92,-123.99,-124.82,,-0.2682174077301542,0.3698625318478557
169.0,189.0,167.0,166.0,190.0,,-82.46,-90.61,-90.92,-123.99,-124.82,,-0.2682174077301542,0.3698625318478557
169.0,189.0,167.0,166.0,190.0,,-82.46,-90.61,-90.92,-123.99,-124.82,,-0.2682174077301542,0.3698625318478557
169.0,167.0,189.0,190.0,166.0,,-82.15,-90.69,-91.24,-156.0,-156.0,,-0.2682174077301542,0.3698625318478557
169.0,167.0,189.0,190.0,166.0,,-82.15,-90.69,-91.24,-156.0,-156.0,,-0.2682174077301542,0.3698625318478557
169.0,167.0,189.0,190.0,166.0,,-82.15,-90.69,-91.24,-156.0,-156.0,,-0.2816841436267909,0.6321656565211177
169.0,189.0,168.0,190.0,,,-83.66,-92.51,-94.23,-125.65,,,-0.2816841436267909,0.6321656565211177
169.0,189.0,168.0,190.0,,,-83.66,-92.51,-94.23,-125.65,,,-0.2816841436267909,0.6321656565211177
169.0,167.0,189.0,190.0,168.0,166.0,-82.82,-91.05,-93.39,-123.9,-156.0,-156.0,-0.2816841436267909,0.6321656565211177
