f6:84:8d:e1:94:1c,50:42:89:da:49:47,d0:59:95:c4:4b:e7,48:2f:d7:60:0e:c4,50:42:89:da:49:48,e2:7c:90:b2:9d:15,7c:39:53:b3:e0:d0,44:f7:70:1e:15:2e,44:f7:70:1e:15:2f,rp_x,rp_y
-84,-54,-88,-79,-65,-85,-70,-31,-35,7.11,2.26
-999,-999,-999,-999,-999,-999,-999,-999,-35,7.1,2.2
