166,167,168,169,189,190,x,y
-156.0,-91.05,-156.0,-82.82,-93.39,-123.9,-0.2816841436267909,0.6321656565211177
-156.0,-91.05,-156.0,-82.82,-93.39,-123.9,-0.2816841436267909,0.6321656565211177
-156.0,-91.05,-156.0,-82.82,-93.39,-123.9,-0.2816841436267909,0.6321656565211177
,-92.09,-156.0,-85.63,-92.11,-92.19,-0.2816841436267909,0.6321656565211177
,-92.09,-156.0,-85.63,-92.11,-92.19,-0.2816841436267909,0.6321656565211177
-94.05,-94.65,-124.56,-89.33,-88.46,-89.53,-0.2816841436267909,0.6321656565211177
-94.05,-94.65,-124.56,-89.33,-88.46,-89.53,-0.2816841436267909,0.6321656565211177
-94.05,-94.65,-124.56,-89.33,-88.46,-89.53,-0.2816841436267909,0.6321656565211177
-87.62,-91.59,-89.38,-88.32,-90.17,-86.91,-0.2816841436267909,0.6321656565211177
-87.62,-91.59,-89.38,-88.32,-90.17,-86.91,-0.2816841436267909,0.6321656565211177
-90.34,-89.95,-123.58,-82.37,-88.42,-88.63,-0.2816841436267909,0.6321656565211177
-90.34,-89.95,-123.58,-82.37,-88.42,-88.63,-0.2816841436267909,0.6321656565211177
-90.34,-89.95,-123.58,-82.37,-88.42,-88.63,-0.2816841436267909,0.6321656565211177
-91.3,-122.1,-123.68,-81.94,-86.14,-89.0,-0.3352816914350552,0.9211203363272192
-91.3,-122.1,-123.68,-81.94,-86.14,-89.0,-0.3352816914350552,0.9211203363272192
-91.3,-122.1,-123.68,-81.94,-86.14,-89.0,-0.3352816914350552,0.9211203363272192
-89.52,-91.07,-88.59,-84.63,-91.38,-89.18,-0.3352816914350552,0.9211203363272192
-89.52,-91.07,-88.59,-84.63,-91.38,-89.18,-0.3352816914350552,0.9211203363272192
-125.16,-90.48,-91.05,-88.16,-93.21,-86.59,-0.3352816914350552,0.9211203363272192
-125.16,-90.48,-91.05,-88.16,-93.21,-86.59,-0.3352816914350552,0.9211203363272192
-125.16,-90.48,-91.05,-88.16,-93.21,-86.59,-0.3352816914350552,0.9211203363272192
-89.13,-87.06,-89.14,-82.28,-90.97,-88.08,-0.3352816914350552,0.9211203363272192
-89.13,-87.06,-89.14,-82.28,-90.97,-88.08,-0.3352816914350552,0.9211203363272192
,-90.27,-97.51,-82.09,,,-0.3352816914350552,0.9211203363272192
,-90.27,-97.51,-82.09,,,-0.3352816914350552,0.9211203363272192
,-90.27,-97.51,-82.09,,,-0.3352816914350552,0.9211203363272192
-156.0,-87.74,-125.36,-79.61,,,-0.3352816914350552,0.9211203363272192
-156.0,-87.74,-125.36,-79.61,,,-0.3352816914350552,0.9211203363272192
-156.0,-87.74,-125.36,-79.61,,,-0.3307433381086974,1.198062587685865
-156.0,-86.8,-127.3,-80.74,,,-0.3307433381086974,1.198062587685865
-156.0,-86.8,-127.3,-80.74,,,-0.3307433381086974,1.198062587685865
-123.7,-87.84,-125.12,-80.26,,,-0.3307433381086974,1.198062587685865
-123.7,-87.84,-125.12,-80.26,,,-0.3307433381086974,1.198062587685865
-123.7,-87.84,-125.12,-80.26,,,-0.3307433381086974,1.198062587685865
-156.0,-86.84,-156.0,-78.69,,,-0.3307433381086974,1.198062587685865
-156.0,-86.84,-156.0,-78.69,,,-0.3307433381086974,1.198062587685865
-156.0,-88.39,-156.0,-80.66,,,-0.3307433381086974,1.198062587685865
-156.0,-88.39,-156.0,-80.66,,,-0.3307433381086974,1.198062587685865
-156.0,-88.39,-156.0,-80.66,,,-0.3307433381086974,1.198062587685865
-122.82,-83.7,,-78.63,,,-0.3307433381086974,1.198062587685865
-122.82,-83.7,,-78.63,,,-0.3307433381086974,1.198062587685865
-122.82,-83.7,,-78.63,,,-0.3307433381086974,1.198062587685865
-156.0,-84.06,,-76.57,,-91.98,-0.2859912172986369,1.465631129328121
-156.0,-84.06,,-76.57,,-91.98,-0.2859912172986369,1.465631129328121
-156.0,-86.13,,-78.14,,-156.0,-0.2859912172986369,1.465631129328121
-156.0,-86.13,,-78.14,,-156.0,-0.2859912172986369,1.465631129328121
-156.0,-86.13,,-78.14,,-156.0,-0.2859912172986369,1.465631129328121
-156.0,-84.53,,-78.48,,-156.0,-0.2859912172986369,1.465631129328121
-156.0,-84.53,,-78.48,,-156.0,-0.2859912172986369,1.465631129328121
-156.0,-84.53,,-78.48,,-156.0,-0.2859912172986369,1.465631129328121
-156.0,-84.35,,-78.91,,,-0.2859912172986369,1.465631129328121
-156.0,-84.35,,-78.91,,,-0.2859912172986369,1.465631129328121
-90.91,-83.74,,-82.95,,,-0.2859912172986369,1.465631129328121
